ROLE,TABLE,READ,CREATE,UPDATE_EDIT,DELETE_HARD,ARCHIVE,VOID,REVERSE,APPROVE,REJECT,TRANSMIT,EXPORT,ASSIGN,ADMIN
admin,credentials,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N
admin,credential_events,Y,Y,Y,N,N,N,N,N,N,N,N,N,N
admin,communications,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
admin,appointments,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
admin,tasks,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
admin,consents,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
admin,disputes,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N
admin,refund_events,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N
ero,crm_workspaces,Y,N,N,N,N,N,N,N,N,N,N,N,N
ero,crm_users,Y,N,N,N,N,N,N,N,N,N,N,N,N
ero,crm_clients,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
ero,crm_cases,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N
ero,crm_fee_catalog,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N
ero,crm_invoices,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N
ero,crm_invoice_lines,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
ero,crm_payments,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N
ero,crm_payment_plans,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N
ero,crm_collections,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N
ero,crm_collection_actions,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
ero,crm_recovery_cases,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N
ero,crm_practitioner_fees,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N
ero,crm_activities,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
ero,crm_documents,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N
ero,crm_flow_runs,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N
ero,crm_audit_log,Y,N,N,N,N,N,N,N,N,N,N,N,N
ero,training_courses,Y,N,N,N,N,N,N,N,N,N,N,N,N
ero,training_enrollments,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N
ero,training_assignments,Y,N,N,N,N,N,N,N,N,N,N,Y,N
ero,training_assessments,Y,N,N,N,N,N,N,N,N,N,N,N,N
ero,training_results,Y,N,N,N,N,N,N,N,N,N,N,N,N
ero,credential_programs,Y,N,N,N,N,N,N,N,N,N,N,N,N
ero,credentials,Y,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N
ero,credential_events,Y,N,N,N,N,N,N,N,N,N,N,N,N
ero,communications,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N
ero,appointments,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N

ero,tasks,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N
bero,consents,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
bero,disputes,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N
ero,refund_events,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N
practitioner,crm_clients,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
practitioner,crm_cases,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N
practitioner,crm_documents,Y,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N
practitioner,crm_invoice_lines,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N
practitioner,crm_activities,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
practitioner,communications,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
practitioner,appointments,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
practitioner,tasks,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
practitioner,consents,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
practitioner,crm_invoices,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,crm_payments,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,crm_payment_plans,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,crm_collections,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,crm_recovery_cases,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,crm_practitioner_fees,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,training_courses,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,training_enrollments,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,training_assignments,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,training_assessments,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,training_results,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,credential_programs,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,credentials,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,disputes,Y,N,N,N,N,N,N,N,N,N,N,N,N
practitioner,refund_events,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,crm_clients,Y,Y,Y,N,Y,N,N,N,N,N,N,N
preparer,crm_cases,Y,Y,Y,N,Y,N,N,N,N,N,N,N
preparer,crm_documents,Y,Y,Y,N,Y,N,N,N,N,N,N,N
preparer,crm_activities,Y,Y,Y,N,Y,N,N,N,N,N,N,N
preparer,tasks,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
preparer,communications,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N
preparer,appointments,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N
preparer,crm_invoices,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,crm_invoice_lines,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,crm_payments,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,crm_payment_plans,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,crm_collections,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,crm_recovery_cases,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,crm_practitioner_fees,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,training_courses,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,training_enrollments,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,training_assignments,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,training_assessments,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,training_results,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,credential_programs,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,credentials,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,credential_events,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,consents,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,disputes,Y,N,N,N,N,N,N,N,N,N,N,N,N
preparer,refund_events,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,crm_clients,Y,N,Y,N,Y,N,N,N,N,N,Y,Y,N
collector,crm_invoices,Y,N,N,N,Y,Y,N,N,N,N,N,N,N
collector,crm_invoice_lines,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,crm_payments,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,crm_payment_plans,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N
collector,crm_collections,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N
collector,crm_collection_actions,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
collector,crm_recovery_cases,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N
collector,crm_activities,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
collector,communications,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N
collector,tasks,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
collector,disputes,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
collector,crm_audit_log,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,crm_cases,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,crm_documents,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,crm_practitioner_fees,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,training_courses,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,training_enrollments,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,training_assignments,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,training_assessments,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,training_results,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,credential_programs,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,credentials,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,credential_events,Y,N,N,N,N,N,N,N,N,N,N,N,N
collector,appointments,Y,N,N,N,N,N,N,N,N,N,Y,Y,N
collector,refund_events,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_workspaces,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_users,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_clients,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_cases,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_fee_catalog,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_invoices,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_invoice_lines,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_payments,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_payment_plans,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_collections,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_collection_actions,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_recovery_cases,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_practitioner_fees,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_activities,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_documents,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_flow_runs,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,crm_audit_log,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,training_courses,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,training_enrollments,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,training_assignments,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,training_assessments,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,training_results,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,credential_programs,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,credentials,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,credential_events,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,communications,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,appointments,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,tasks,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,consents,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,disputes,Y,N,N,N,N,N,N,N,N,N,N,N,N
viewer,refund_events,Y,N,N,N,N,N,N,N,N,N,N,N,N
